,OBJECTID,PIN,TAX_ID,ADDRESS,ACREAGE,ACRE_PL,ACRE_CR,TAX_TYPE,REV_DATE,CVT_NAME,COM_DIST_C,MSN_URL,TAX_URL,BSA_ID,Shape,GlobalID,Shape.area,Shape.len
33,233475,08-07-352-030,08-07-352-030,53443 ADDINGTON DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6894479626317~-82.9752484215576&style=o&sp=Point.42.6894479626317_-82.9752484215576_08-07-352-030_53443 ADDINGTON DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-030&SearchFocus=All+Records&uid=259,20-08-07-352-030,,{96AA0D47-F349-40BE-84E4-DC3CD4E88379},9094.66,399.83
34,233476,08-07-352-002,08-07-352-002,15277 AMBERFIELD DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6908767160412~-82.974372304685&style=o&sp=Point.42.6908767160412_-82.974372304685_08-07-352-002_15277 AMBERFIELD DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-002&SearchFocus=All+Records&uid=259,20-08-07-352-002,,{8A0641A4-A1C2-42B1-9419-2C6CF3B6ABC1},8750.68,390.03
35,233477,08-07-352-003,08-07-352-003,15303 AMBERFIELD DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6908784663133~-82.9741119529778&style=o&sp=Point.42.6908784663133_-82.9741119529778_08-07-352-003_15303 AMBERFIELD DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-003&SearchFocus=All+Records&uid=259,20-08-07-352-003,,{B1162F2E-4160-4B09-B0B6-3971DB1D040B},8750.69,390.03
36,245483,08-07-353-019,08-07-353-019,53458 ADDINGTON DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6895358943361~-82.9745635799428&style=o&sp=Point.42.6895358943361_-82.9745635799428_08-07-353-019_53458 ADDINGTON DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-353-019&SearchFocus=All+Records&uid=259,20-08-07-353-019,,{937F0B02-9080-4FE8-B311-E78398EB2715},9414.75,396.85
37,245484,08-07-352-031,08-07-352-031,53467 ADDINGTON DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6896400035347~-82.9752561652968&style=o&sp=Point.42.6896400035347_-82.9752561652968_08-07-352-031_53467 ADDINGTON DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-031&SearchFocus=All+Records&uid=259,20-08-07-352-031,,{2D9F457A-5458-439A-B1B9-A9EB880C4762},9094.99,399.84
38,245485,08-07-352-001,08-07-352-001,15251 AMBERFIELD DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6908752529507~-82.9746714626574&style=o&sp=Point.42.6908752529507_-82.9746714626574_08-07-352-001_15251 AMBERFIELD DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-001&SearchFocus=All+Records&uid=259,20-08-07-352-001,,{ED093EE5-BF30-4997-A13B-FEBD18D62340},11358.09,431.77
39,245486,08-07-352-004,08-07-352-004,15329 AMBERFIELD DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6908802093043~-82.9738516010411&style=o&sp=Point.42.6908802093043_-82.9738516010411_08-07-352-004_15329 AMBERFIELD DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-004&SearchFocus=All+Records&uid=259,20-08-07-352-004,,{C732C2FE-093E-4F04-B8DA-41E7548A9D4F},8750.63,390.03
40,259930,08-07-352-027,08-07-352-027,53371 ADDINGTON DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6888252739142~-82.9752722567587&style=o&sp=Point.42.6888252739142_-82.9752722567587_08-07-352-027_53371 ADDINGTON DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-027&SearchFocus=All+Records&uid=259,20-08-07-352-027,,{A7C44190-2EB8-45C6-AA4A-01074C92E1C7},11718.46,466.52
41,262612,08-07-352-019,08-07-352-019,15412 PIERMONT DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6886178799312~-82.9731438166796&style=o&sp=Point.42.6886178799312_-82.9731438166796_08-07-352-019_15412 PIERMONT DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-019&SearchFocus=All+Records&uid=259,20-08-07-352-019,,{651839C8-ACB5-4D65-BCBA-5D76FD62E95D},9648.61,408.85
42,262613,08-07-353-012,08-07-353-012,15408 PRENTICE CT,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6894867609847~-82.9733226637495&style=o&sp=Point.42.6894867609847_-82.9733226637495_08-07-353-012_15408 PRENTICE CT MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-353-012&SearchFocus=All+Records&uid=259,20-08-07-353-012,,{28263B72-3CB7-479A-BA0A-C309B5983530},12169.29,448.52
